['riven', 'leesin', 'leblanc', 'ezreal', 'leona', 'jayce', 'olaf', 'sylas', 'ashe', 'blitzcrank', 'red']
['ryze', 'reksai', 'zoe', 'vayne', 'senna', 'jayce', 'nidalee', 'katarina', 'samira', 'nautilus', 'red']
['sett', 'hecarim', 'zed', 'jhin', 'zyra', 'mordekaiser', 'fiddlesticks', 'kled', 'lucian', 'lulu', 'blue']
['varus', 'riven', 'seraphine', 'zilean', 'singed', 'fizz', 'ryze', 'twistedfate', 'pyke', 'tristana', 'blue']
['leblanc', 'rammus', 'xerath', 'aatrox', 'katarina', 'nunu', 'senna', 'swain', 'braum', 'aphelios', 'red']
['riven', 'ivern', 'galio', 'ezreal', 'blitzcrank', 'gwen', 'nautilus', 'twistedfate', 'lucian', 'senna', 'red']
['ezreal', 'heimerdinger', 'nami', 'yasuo', 'annie', 'lillia', 'corki', 'samira', 'twitch', 'vayne', 'red']
['syndra', 'missfortune', 'sett', 'leblanc', 'morgana', 'quinn', 'nunu', 'sona', 'vi', 'fizz', 'blue']
['zac', 'nocturne', 'xerath', 'kaisa', 'thresh', 'sett', 'elise', 'diana', 'ezreal', 'rakan', 'red']
['riven', 'nidalee', 'zed', 'vayne', 'nautilus', 'garen', 'rumble', 'twistedfate', 'xayah', 'braum', 'blue']
['lux', 'pantheon', 'orianna', 'sivir', 'jayce', 'jinx', 'fizz', 'sona', 'caitlyn', 'akali', 'red']
['riven', 'kayn', 'twistedfate', 'ezreal', 'drmundo', 'wukong', 'rumble', 'talon', 'jinx', 'alistar', 'red']
['shen', 'fiddlesticks', 'akali', 'samira', 'blitzcrank', 'leesin', 'viego', 'lucian', 'yasuo', 'lulu', 'blue']
['neeko', 'sona', 'lulu', 'vi', 'jarvaniv', 'kayn', 'poppy', 'caitlyn', 'yone', 'wukong', 'blue']
['sett', 'evelynn', 'zed', 'senna', 'tahmkench', 'sylas', 'fiddlesticks', 'katarina', 'yuumi', 'sivir', 'red']
['renekton', 'poppy', 'qiyana', 'jinx', 'lux', 'volibear', 'graves', 'sylas', 'kaisa', 'thresh', 'blue']
['sett', 'nidalee', 'zed', 'ezreal', 'morgana', 'aatrox', 'senna', 'irelia', 'malphite', 'rumble', 'red']
['aatrox', 'warwick', 'leesin', 'samira', 'swain', 'jax', 'elise', 'sylas', 'ezreal', 'thresh', 'blue']
['pyke', 'malzahar', 'karma', 'brand', 'blitzcrank', 'aatrox', 'diana', 'ahri', 'ryze', 'caitlyn', 'blue']
['kaisa', 'leesin', 'ziggs', 'blitzcrank', 'elise', 'jhin', 'ryze', 'heimerdinger', 'aphelios', 'khazix', 'red']
['sett', 'nocturne', 'vladimir', 'samira', 'senna', 'irelia', 'leesin', 'katarina', 'jhin', 'maokai', 'red']
['tristana', 'jax', 'lux', 'orianna', 'anivia', 'sivir', 'kled', 'yasuo', 'jarvaniv', 'alistar', 'red']
['yone', 'shaco', 'malzahar', 'thresh', 'samira', 'malphite', 'fiddlesticks', 'akali', 'kaisa', 'pantheon', 'blue']
['irelia', 'kayn', 'talon', 'ezreal', 'reksai', 'garen', 'leesin', 'katarina', 'jhin', 'leblanc', 'red']
['malphite', 'rammus', 'leblanc', 'xayah', 'pyke', 'garen', 'twistedfate', 'vayne', 'lulu', 'shaco', 'red']
['darius', 'leesin', 'katarina', 'vayne', 'leona', 'camille', 'vi', 'galio', 'ezreal', 'malphite', 'blue']
['mordekaiser', 'xinzhao', 'lucian', 'draven', 'rell', 'poppy', 'graves', 'vladimir', 'samira', 'leona', 'blue']
['leblanc', 'ahri', 'thresh', 'fiora', 'karthus', 'xerath', 'ezreal', 'draven', 'sett', 'morgana', 'blue']
['aatrox', 'kayn', 'sett', 'varus', 'brand', 'wukong', 'leesin', 'yasuo', 'ezreal', 'nautilus', 'blue']
['sylas', 'graves', 'orianna', 'kaisa', 'lux', 'irelia', 'khazix', 'aatrox', 'missfortune', 'thresh', 'blue']
['ornn', 'kayn', 'samira', 'kassadin', 'soraka', 'vayne', 'zac', 'zed', 'caitlyn', 'nautilus', 'red']
['vladimir', 'senna', 'zed', 'kogmaw', 'leesin', 'garen', 'reksai', 'ekko', 'kaisa', 'alistar', 'red']
['maokai', 'udyr', 'zed', 'jhin', 'yuumi', 'wukong', 'ekko', 'camille', 'ezreal', 'xerath', 'blue']
['jinx', 'jhin', 'lillia', 'kennen', 'zilean', 'nidalee', 'galio', 'corki', 'sona', 'veigar', 'red']
['fiora', 'khazix', 'katarina', 'kaisa', 'yuumi', 'sion', 'nidalee', 'kassadin', 'vayne', 'blitzcrank', 'red']
['sion', 'nidalee', 'qiyana', 'samira', 'rell', 'renekton', 'masteryi', 'orianna', 'kaisa', 'xerath', 'red']
['fiora', 'karthus', 'malphite', 'kaisa', 'teemo', 'chogath', 'graves', 'zed', 'ezreal', 'neeko', 'blue']
['garen', 'trundle', 'mordekaiser', 'kaisa', 'thresh', 'viego', 'poppy', 'sylas', 'ezreal', 'brand', 'red']
['leesin', 'bard', 'zed', 'jinx', 'gwen', 'reksai', 'sylas', 'qiyana', 'ashe', 'leona', 'blue']
['irelia', 'leesin', 'annie', 'veigar', 'nami', 'quinn', 'vi', 'yone', 'kaisa', 'xerath', 'red']
['graves', 'ziggs', 'malzahar', 'aatrox', 'sona', 'lucian', 'sion', 'alistar', 'ezreal', 'gragas', 'red']
['wukong', 'warwick', 'orianna', 'varus', 'tahmkench', 'fiora', 'elise', 'talon', 'ashe', 'senna', 'red']
['renekton', 'sejuani', 'sylas', 'varus', 'seraphine', 'maokai', 'graves', 'lux', 'ashe', 'blitzcrank', 'red']
['malzahar', 'annie', 'nautilus', 'xerath', 'aphelios', 'leblanc', 'ezreal', 'morgana', 'blitzcrank', 'fiddlesticks', 'blue']
['wukong', 'warwick', 'leblanc', 'vayne', 'thresh', 'sett', 'masteryi', 'talon', 'jinx', 'leona', 'red']
['kogmaw', 'garen', 'ziggs', 'seraphine', 'lulu', 'samira', 'vladimir', 'graves', 'shen', 'janna', 'blue']
['vladimir', 'masteryi', 'zed', 'tristana', 'nautilus', 'irelia', 'zac', 'ryze', 'kogmaw', 'janna', 'blue']
['wukong', 'ekko', 'viego', 'kalista', 'soraka', 'riven', 'udyr', 'annie', 'samira', 'sett', 'blue']
['jax', 'xinzhao', 'lucian', 'ezreal', 'leona', 'gwen', 'graves', 'xerath', 'samira', 'blitzcrank', 'blue']
['renekton', 'riven', 'akali', 'ezreal', 'pyke', 'camille', 'viego', 'sylas', 'jhin', 'yuumi', 'red']
['camille', 'elise', 'lucian', 'kaisa', 'bard', 'akali', 'leesin', 'syndra', 'tristana', 'senna', 'blue']
['darius', 'fiddlesticks', 'nunu', 'varus', 'pyke', 'fiora', 'amumu', 'akali', 'kaisa', 'blitzcrank', 'blue']
['renekton', 'evelynn', 'zoe', 'ezreal', 'morgana', 'darius', 'khazix', 'yone', 'samira', 'bard', 'blue']
['zac', 'samira', 'draven', 'garen', 'tristana', 'twistedfate', 'thresh', 'lulu', 'sona', 'leesin', 'red']
['gwen', 'xinzhao', 'kled', 'kaisa', 'thresh', 'akali', 'nidalee', 'talon', 'samira', 'leona', 'blue']
['kaisa', 'sivir', 'tristana', 'azir', 'aphelios', 'fiora', 'leesin', 'ryze', 'viego', 'zac', 'red']
['maokai', 'thresh', 'mordekaiser', 'yasuo', 'darius', 'camille', 'jayce', 'malphite', 'xayah', 'taliyah', 'red']
['kalista', 'jax', 'cassiopeia', 'ashe', 'pantheon', 'jayce', 'leesin', 'yone', 'twitch', 'blitzcrank', 'blue']
['tahmkench', 'zac', 'katarina', 'samira', 'alistar', 'viego', 'hecarim', 'zoe', 'xayah', 'galio', 'red']
['renekton', 'nocturne', 'sylas', 'kaisa', 'nautilus', 'wukong', 'xinzhao', 'ekko', 'caitlyn', 'morgana', 'red']
['irelia', 'khazix', 'sylas', 'jinx', 'gragas', 'poppy', 'leesin', 'sett', 'ezreal', 'leona', 'red']
['wukong', 'kayn', 'qiyana', 'varus', 'pantheon', 'illaoi', 'evelynn', 'jayce', 'missfortune', 'rell', 'red']
['riven', 'udyr', 'leesin', 'aphelios', 'janna', 'fiora', 'rammus', 'malzahar', 'lucian', 'veigar', 'red']
['ivern', 'aphelios', 'nocturne', 'vayne', 'kayle', 'nasus', 'leesin', 'ahri', 'samira', 'alistar', 'red']
['jayce', 'ekko', 'zed', 'senna', 'swain', 'gwen', 'diana', 'sion', 'ezreal', 'yuumi', 'blue']
['lucian', 'graves', 'cassiopeia', 'kaisa', 'nami', 'wukong', 'shaco', 'jayce', 'vayne', 'lulu', 'red']
['pyke', 'tahmkench', 'vayne', 'janna', 'veigar', 'kaisa', 'jhin', 'jinx', 'zed', 'lux', 'red']
['kayle', 'neeko', 'galio', 'kalista', 'pantheon', 'udyr', 'zilean', 'draven', 'lux', 'malzahar', 'blue']
['shen', 'leesin', 'vladimir', 'vayne', 'nautilus', 'singed', 'kindred', 'corki', 'senna', 'thresh', 'red']
['shen', 'wukong', 'yasuo', 'jinx', 'shaco', 'gangplank', 'rumble', 'leesin', 'missfortune', 'nautilus', 'red']
['morgana', 'blitzcrank', 'kayle', 'yasuo', 'kaisa', 'samira', 'leesin', 'nasus', 'yuumi', 'lillia', 'red']
['vayne', 'diana', 'qiyana', 'caitlyn', 'nautilus', 'camille', 'leesin', 'ekko', 'kaisa', 'alistar', 'blue']
['wukong', 'sett', 'yone', 'nautilus', 'kaisa', 'yasuo', 'masteryi', 'sylas', 'jhin', 'xerath', 'red']
['irelia', 'leesin', 'azir', 'jinx', 'thresh', 'ornn', 'khazix', 'alistar', 'drmundo', 'volibear', 'blue']
['olaf', 'kindred', 'katarina', 'samira', 'leona', 'nocturne', 'rumble', 'yasuo', 'jhin', 'xerath', 'red']
['yorick', 'vi', 'renekton', 'lucian', 'zilean', 'fiora', 'leesin', 'yone', 'jhin', 'blitzcrank', 'blue']
['irelia', 'shaco', 'twistedfate', 'kaisa', 'nautilus', 'akali', 'khazix', 'yasuo', 'tristana', 'zyra', 'blue']
['kalista', 'sejuani', 'irelia', 'yasuo', 'gragas', 'volibear', 'nasus', 'sylas', 'varus', 'senna', 'red']
['akali', 'rammus', 'yasuo', 'pyke', 'samira', 'rumble', 'samira', 'gangplank', 'yone', 'volibear', 'red']
['urgot', 'udyr', 'tryndamere', 'tristana', 'pantheon', 'malphite', 'viego', 'yasuo', 'ezreal', 'karma', 'red']
['akali', 'xerath', 'camille', 'graves', 'ezreal', 'karma', 'yone', 'xinzhao', 'ezreal', 'xerath', 'blue']
['maokai', 'leesin', 'diana', 'ezreal', 'xerath', 'renekton', 'morgana', 'cassiopeia', 'kaisa', 'shen', 'blue']
['jayce', 'sejuani', 'twistedfate', 'kalista', 'thresh', 'gwen', 'jax', 'zoe', 'lucian', 'yuumi', 'blue']
['yasuo', 'diana', 'galio', 'senna', 'twitch', 'gnar', 'xinzhao', 'draven', 'ezreal', 'thresh', 'blue']
['twitch', 'lissandra', 'zed', 'viego', 'soraka', 'warwick', 'jarvaniv', 'pyke', 'sivir', 'gwen', 'red']
['wukong', 'leesin', 'akali', 'varus', 'xerath', 'jayce', 'sylas', 'xinzhao', 'kaisa', 'swain', 'blue']
['chogath', 'graves', 'viktor', 'jhin', 'nautilus', 'fiora', 'nocturne', 'zoe', 'ezreal', 'thresh', 'red']
['poppy', 'kindred', 'leblanc', 'jinx', 'blitzcrank', 'vayne', 'rumble', 'lucian', 'alistar', 'ezreal', 'blue']
['aatrox', 'graves', 'sylas', 'kogmaw', 'lulu', 'leesin', 'nunu', 'twistedfate', 'senna', 'tahmkench', 'red']
['caitlyn', 'zed', 'renekton', 'lux', 'lillia', 'camille', 'yone', 'yuumi', 'ezreal', 'ekko', 'red']
['darius', 'malphite', 'nami', 'vayne', 'riven', 'missfortune', 'ashe', 'soraka', 'thresh', 'sona', 'blue']
['jax', 'ahri', 'leesin', 'samira', 'blitzcrank', 'malphite', 'wukong', 'azir', 'ezreal', 'karma', 'blue']
['thresh', 'samira', 'lucian', 'akali', 'vi', 'jhin', 'trundle', 'darius', 'leesin', 'blitzcrank', 'red']
['quinn', 'nidalee', 'zed', 'samira', 'galio', 'gnar', 'elise', 'diana', 'kaisa', 'sett', 'red']
['trundle', 'drmundo', 'leblanc', 'kogmaw', 'leona', 'aatrox', 'viego', 'kennen', 'vayne', 'xerath', 'blue']
['jax', 'nidalee', 'qiyana', 'ezreal', 'missfortune', 'sett', 'diana', 'morgana', 'vayne', 'soraka', 'blue']
['kayle', 'graves', 'irelia', 'ezreal', 'nami', 'jayce', 'nidalee', 'syndra', 'xayah', 'pyke', 'blue']
['singed', 'kayn', 'zed', 'kaisa', 'pantheon', 'aatrox', 'diana', 'akali', 'samira', 'taric', 'blue']
['sylas', 'volibear', 'malzahar', 'samira', 'lissandra', 'singed', 'xinzhao', 'viktor', 'kaisa', 'karma', 'blue']
['renekton', 'diana', 'chogath', 'kaisa', 'rell', 'sett', 'evelynn', 'galio', 'xayah', 'karma', 'red']
['sion', 'nidalee', 'zed', 'aphelios', 'nautilus', 'rengar', 'hecarim', 'irelia', 'senna', 'sett', 'red']
['thresh', 'twitch', 'fiddlesticks', 'ziggs', 'sylas', 'xerath', 'anivia', 'garen', 'kaisa', 'kayle', 'blue']
['talon', 'sett', 'kaisa', 'karma', 'morgana', 'lux', 'kaisa', 'teemo', 'leesin', 'yasuo', 'blue']
['mordekaiser', 'elise', 'camille', 'kaisa', 'xerath', 'heimerdinger', 'viego', 'diana', 'ezreal', 'pyke', 'red']
['kalista', 'jayce', 'shyvana', 'pyke', 'zilean', 'teemo', 'caitlyn', 'lux', 'tristana', 'heimerdinger', 'red']
['aatrox', 'udyr', 'diana', 'vayne', 'zyra', 'teemo', 'gragas', 'viego', 'aphelios', 'yuumi', 'blue']
['darius', 'graves', 'malzahar', 'ezreal', 'nautilus', 'gwen', 'leesin', 'sylas', 'varus', 'thresh', 'blue']
['rumble', 'xinzhao', 'yasuo', 'varus', 'leona', 'wukong', 'morgana', 'sett', 'caitlyn', 'senna', 'blue']
['trundle', 'khazix', 'sylas', 'kaisa', 'xerath', 'renekton', 'olaf', 'diana', 'ezreal', 'yuumi', 'blue']
['malphite', 'diana', 'yone', 'shaco', 'darius', 'samira', 'leesin', 'gragas', 'yasuo', 'fiora', 'blue']
['heimerdinger', 'talon', 'lux', 'xayah', 'ekko', 'jinx', 'akali', 'viego', 'kaisa', 'seraphine', 'blue']
['jinx', 'pyke', 'zed', 'mordekaiser', 'rumble', 'sylas', 'pantheon', 'lulu', 'jinx', 'leesin', 'blue']
['drmundo', 'leesin', 'ahri', 'tristana', 'blitzcrank', 'sejuani', 'nidalee', 'irelia', 'kaisa', 'morgana', 'blue']
['sylas', 'kayn', 'vladimir', 'kaisa', 'nautilus', 'leesin', 'garen', 'viego', 'ezreal', 'pyke', 'blue']
['volibear', 'graves', 'sylas', 'kaisa', 'rakan', 'garen', 'evelynn', 'viego', 'aphelios', 'bard', 'blue']
['janna', 'leesin', 'lux', 'sylas', 'ezreal', 'khazix', 'lucian', 'jhin', 'leona', 'renekton', 'blue']
['syndra', 'sejuani', 'alistar', 'sivir', 'rumble', 'shen', 'blitzcrank', 'renekton', 'evelynn', 'yasuo', 'blue']
['sylas', 'xinzhao', 'akali', 'kaisa', 'nautilus', 'gnar', 'evelynn', 'yasuo', 'ezreal', 'senna', 'red']
['renekton', 'nidalee', 'sylas', 'jinx', 'morgana', 'wukong', 'karthus', 'twistedfate', 'ezreal', 'rell', 'blue']
['darius', 'graves', 'brand', 'ezreal', 'nautilus', 'jayce', 'jax', 'fizz', 'jhin', 'yuumi', 'blue']
['teemo', 'nidalee', 'xerath', 'ezreal', 'bard', 'wukong', 'nocturne', 'katarina', 'jhin', 'lux', 'red']
['hecarim', 'mordekaiser', 'sett', 'lulu', 'jinx', 'wukong', 'lillia', 'renekton', 'morgana', 'samira', 'blue']
['zac', 'nidalee', 'orianna', 'kaisa', 'swain', 'renekton', 'elise', 'akali', 'jhin', 'nautilus', 'red']
['leesin', 'sylas', 'irelia', 'karma', 'kogmaw', 'aatrox', 'senna', 'kled', 'sivir', 'nidalee', 'red']
['yone', 'karma', 'kalista', 'viktor', 'varus', 'singed', 'veigar', 'chogath', 'pantheon', 'renekton', 'blue']
['jax', 'graves', 'sylas', 'samira', 'yuumi', 'renekton', 'riven', 'zed', 'ashe', 'senna', 'blue']
['sett', 'poppy', 'xerath', 'ezreal', 'yuumi', 'teemo', 'rumble', 'talon', 'ashe', 'karma', 'red']
['caitlyn', 'senna', 'nidalee', 'ezreal', 'corki', 'shaco', 'fiora', 'tahmkench', 'xayah', 'soraka', 'blue']
['ornn', 'ezreal', 'morgana', 'pantheon', 'senna', 'nocturne', 'leesin', 'yasuo', 'xerath', 'pyke', 'red']
['aatrox', 'kindred', 'sylas', 'ashe', 'udyr', 'renekton', 'leesin', 'vladimir', 'ezreal', 'yuumi', 'red']
['sylas', 'xinzhao', 'talon', 'vayne', 'lulu', 'garen', 'elise', 'yasuo', 'varus', 'fiddlesticks', 'red']
['teemo', 'graves', 'karma', 'jinx', 'janna', 'renekton', 'leesin', 'xerath', 'jhin', 'lulu', 'red']
['irelia', 'graves', 'lux', 'jhin', 'janna', 'sett', 'xinzhao', 'diana', 'ezreal', 'seraphine', 'blue']
['renekton', 'graves', 'talon', 'ezreal', 'lux', 'sett', 'hecarim', 'zed', 'caitlyn', 'lulu', 'blue']
['nasus', 'udyr', 'xerath', 'ezreal', 'lux', 'gwen', 'ivern', 'gangplank', 'tristana', 'yuumi', 'blue']
['gangplank', 'nocturne', 'akali', 'swain', 'leona', 'jayce', 'fiddlesticks', 'leblanc', 'kaisa', 'pyke', 'red']
['sona', 'blitzcrank', 'xinzhao', 'nautilus', 'veigar', 'kayle', 'riven', 'leblanc', 'drmundo', 'karma', 'blue']
['fiora', 'leesin', 'yone', 'jhin', 'senna', 'shen', 'poppy', 'leblanc', 'jinx', 'xerath', 'red']
['ornn', 'karthus', 'kled', 'caitlyn', 'leona', 'irelia', 'shaco', 'malphite', 'ezreal', 'thresh', 'blue']
['volibear', 'kindred', 'leblanc', 'thresh', 'jhin', 'camille', 'taliyah', 'galio', 'tristana', 'leona', 'red']
['garen', 'kayn', 'tristana', 'senna', 'ahri', 'sett', 'leesin', 'nautilus', 'kaisa', 'zed', 'blue']
['akali', 'leesin', 'irelia', 'aphelios', 'blitzcrank', 'teemo', 'masteryi', 'neeko', 'jinx', 'thresh', 'blue']
['alistar', 'varus', 'khazix', 'veigar', 'zed', 'lucian', 'caitlyn', 'ryze', 'velkoz', 'zilean', 'blue']
['rumble', 'neeko', 'senna', 'leesin', 'lucian', 'sylas', 'maokai', 'aatrox', 'ezreal', 'lillia', 'blue']
['nasus', 'nidalee', 'viego', 'ashe', 'thresh', 'wukong', 'rumble', 'sylas', 'swain', 'lulu', 'blue']
['kogmaw', 'leesin', 'nami', 'zoe', 'zac', 'camille', 'zac', 'blitzcrank', 'missfortune', 'wukong', 'red']
['galio', 'ezreal', 'yasuo', 'velkoz', 'senna', 'kaisa', 'missfortune', 'viktor', 'ryze', 'janna', 'blue']
['draven', 'xerath', 'shen', 'pantheon', 'ivern', 'draven', 'ezreal', 'sylas', 'nidalee', 'kennen', 'blue']
['ornn', 'diana', 'leblanc', 'lucian', 'thresh', 'jayce', 'masteryi', 'sylas', 'kogmaw', 'lulu', 'red']
['fiddlesticks', 'anivia', 'diana', 'lux', 'janna', 'tahmkench', 'ahri', 'veigar', 'twitch', 'wukong', 'blue']
['fiora', 'leesin', 'gwen', 'varus', 'nautilus', 'aatrox', 'morgana', 'irelia', 'jhin', 'yuumi', 'red']
['samira', 'jinx', 'wukong', 'kennen', 'poppy', 'taric', 'zac', 'lux', 'leesin', 'yone', 'blue']
['akali', 'nunu', 'zed', 'jhin', 'brand', 'sett', 'nocturne', 'sylas', 'kaisa', 'alistar', 'red']
['zac', 'kindred', 'twistedfate', 'ezreal', 'yuumi', 'akali', 'rumble', 'kled', 'jhin', 'xerath', 'blue']
['malphite', 'leesin', 'neeko', 'kaisa', 'gnar', 'irelia', 'viego', 'akali', 'vayne', 'leona', 'blue']
['fiora', 'graves', 'yasuo', 'xerath', 'lux', 'malphite', 'leesin', 'ahri', 'vayne', 'pantheon', 'red']
['taliyah', 'malphite', 'yone', 'nautilus', 'seraphine', 'corki', 'fiddlesticks', 'morgana', 'rumble', 'lucian', 'red']
['lucian', 'nidalee', 'katarina', 'ezreal', 'karma', 'renekton', 'elise', 'nunu', 'kaisa', 'lulu', 'red']
['rammus', 'brand', 'darius', 'lulu', 'janna', 'varus', 'alistar', 'ezreal', 'xayah', 'twistedfate', 'red']
['yone', 'twitch', 'zed', 'ashe', 'shaco', 'wukong', 'gwen', 'garen', 'ezreal', 'leona', 'red']
['teemo', 'missfortune', 'zoe', 'evelynn', 'shen', 'varus', 'leesin', 'thresh', 'xerath', 'sett', 'blue']
['heimerdinger', 'akali', 'khazix', 'samira', 'alistar', 'wukong', 'kindred', 'twistedfate', 'kaisa', 'maokai', 'red']
['aatrox', 'rumble', 'qiyana', 'samira', 'leona', 'darius', 'nocturne', 'zoe', 'varus', 'morgana', 'blue']
['akali', 'pantheon', 'jhin', 'yone', 'karma', 'ivern', 'zed', 'twitch', 'blitzcrank', 'vayne', 'red']
['riven', 'volibear', 'ezreal', 'samira', 'anivia', 'illaoi', 'xinzhao', 'pantheon', 'tristana', 'leona', 'red']
['renekton', 'nidalee', 'nocturne', 'jhin', 'karma', 'gnar', 'leesin', 'zed', 'caitlyn', 'morgana', 'blue']
['maokai', 'udyr', 'renekton', 'jinx', 'blitzcrank', 'leesin', 'nunu', 'yasuo', 'missfortune', 'alistar', 'red']
['leblanc', 'samira', 'ezreal', 'yone', 'khazix', 'sion', 'akali', 'zilean', 'samira', 'yone', 'blue']
['riven', 'wukong', 'leblanc', 'ezreal', 'thresh', 'kennen', 'nidalee', 'qiyana', 'vayne', 'pyke', 'blue']
['garen', 'evelynn', 'fiora', 'lucian', 'shaco', 'ryze', 'wukong', 'leblanc', 'ezreal', 'ashe', 'blue']
['sylas', 'graves', 'yone', 'jinx', 'thresh', 'maokai', 'reksai', 'sett', 'missfortune', 'nautilus', 'blue']
['gangplank', 'sylas', 'zoe', 'sivir', 'senna', 'akali', 'khazix', 'talon', 'jinx', 'leona', 'blue']
['pantheon', 'blitzcrank', 'ivern', 'lux', 'varus', 'shyvana', 'vayne', 'lucian', 'lissandra', 'kennen', 'blue']
['camille', 'shaco', 'ekko', 'ezreal', 'lulu', 'volibear', 'warwick', 'zed', 'jinx', 'thresh', 'blue']
['quinn', 'ornn', 'ashe', 'zed', 'jax', 'fiddlesticks', 'rengar', 'ezreal', 'rell', 'lucian', 'blue']
['morgana', 'maokai', 'ashe', 'pantheon', 'sett', 'leblanc', 'leona', 'jhin', 'viego', 'fiora', 'blue']
['kogmaw', 'ryze', 'diana', 'irelia', 'rumble', 'jax', 'orianna', 'leesin', 'blitzcrank', 'senna', 'red']
['irelia', 'diana', 'akali', 'jinx', 'thresh', 'malphite', 'kayn', 'kennen', 'ezreal', 'karma', 'red']
['sett', 'shaco', 'katarina', 'ezreal', 'lulu', 'jayce', 'leesin', 'yasuo', 'kaisa', 'leblanc', 'red']
['sylas', 'leesin', 'katarina', 'kaisa', 'poppy', 'darius', 'amumu', 'akali', 'tristana', 'pyke', 'blue']
['irelia', 'elise', 'lucian', 'kogmaw', 'lulu', 'nasus', 'shaco', 'leblanc', 'samira', 'leona', 'red']
['fiddlesticks', 'varus', 'twistedfate', 'orianna', 'nidalee', 'viktor', 'leblanc', 'akali', 'gangplank', 'riven', 'red']
['sylas', 'leesin', 'viktor', 'ashe', 'seraphine', 'wukong', 'hecarim', 'lucian', 'jhin', 'yuumi', 'blue']
['tryndamere', 'morgana', 'qiyana', 'sivir', 'zilean', 'ornn', 'graves', 'sylas', 'ezreal', 'galio', 'red']
['taric', 'morgana', 'corki', 'samira', 'leesin', 'mordekaiser', 'reksai', 'sylas', 'ezreal', 'thresh', 'blue']
['camille', 'elise', 'viego', 'jhin', 'thresh', 'malphite', 'kayn', 'yasuo', 'ezreal', 'zilean', 'red']
['urgot', 'taliyah', 'sett', 'tristana', 'lulu', 'shen', 'jarvaniv', 'katarina', 'kaisa', 'pantheon', 'red']
['jax', 'leesin', 'sylas', 'jhin', 'sett', 'garen', 'ekko', 'zed', 'tristana', 'leona', 'red']
['leesin', 'zed', 'teemo', 'ezreal', 'garen', 'camille', 'leesin', 'akali', 'lux', 'yasuo', 'blue']
['camille', 'nunu', 'sylas', 'kaisa', 'nautilus', 'gwen', 'ekko', 'lucian', 'vayne', 'shen', 'blue']
['volibear', 'lillia', 'zed', 'sivir', 'leona', 'wukong', 'rumble', 'irelia', 'ezreal', 'maokai', 'blue']
['illaoi', 'skarner', 'sylas', 'caitlyn', 'morgana', 'shyvana', 'viego', 'akali', 'aphelios', 'seraphine', 'blue']
['shen', 'poppy', 'lux', 'kaisa', 'pyke', 'trundle', 'leesin', 'zilean', 'jinx', 'thresh', 'blue']
['khazix', 'yasuo', 'senna', 'maokai', 'fizz', 'gangplank', 'akali', 'viego', 'malzahar', 'blitzcrank', 'red']
['urgot', 'reksai', 'viktor', 'jinx', 'senna', 'irelia', 'leesin', 'ahri', 'ezreal', 'lissandra', 'red']
['singed', 'jinx', 'pyke', 'vi', 'lulu', 'sylas', 'leesin', 'yasuo', 'samira', 'alistar', 'red']
['tryndamere', 'xinzhao', 'wukong', 'ezreal', 'karma', 'trundle', 'warwick', 'katarina', 'kaisa', 'lulu', 'red']
['kennen', 'zoe', 'jarvaniv', 'caitlyn', 'gnar', 'talon', 'akali', 'amumu', 'viktor', 'sona', 'blue']
['vladimir', 'sylas', 'shaco', 'samira', 'thresh', 'mordekaiser', 'nunu', 'shaco', 'varus', 'leesin', 'red']
['camille', 'kindred', 'akali', 'jinx', 'alistar', 'sylas', 'nidalee', 'lucian', 'kogmaw', 'thresh', 'blue']
['anivia', 'gragas', 'yasuo', 'kaisa', 'pantheon', 'gwen', 'leesin', 'kassadin', 'aphelios', 'poppy', 'blue']
['teemo', 'ekko', 'nunu', 'fiora', 'ashe', 'irelia', 'warwick', 'leblanc', 'jhin', 'xerath', 'red']
['sett', 'drmundo', 'katarina', 'varus', 'senna', 'jayce', 'graves', 'akali', 'vayne', 'lulu', 'blue']
['thresh', 'leesin', 'qiyana', 'ezreal', 'malphite', 'aatrox', 'xinzhao', 'neeko', 'jhin', 'alistar', 'blue']
['kled', 'elise', 'talon', 'varus', 'lulu', 'sett', 'leesin', 'lucian', 'ezreal', 'lux', 'blue']
['urgot', 'leona', 'talon', 'shyvana', 'jinx', 'yuumi', 'samira', 'lucian', 'skarner', 'heimerdinger', 'blue']
['samira', 'graves', 'pantheon', 'darius', 'rumble', 'ezreal', 'renekton', 'taliyah', 'zed', 'rakan', 'blue']
['yone', 'nautilus', 'twistedfate', 'vayne', 'rumble', 'fiora', 'sion', 'gwen', 'leesin', 'yasuo', 'blue']
['irelia', 'taliyah', 'diana', 'aphelios', 'blitzcrank', 'riven', 'leesin', 'talon', 'missfortune', 'alistar', 'blue']
['mordekaiser', 'leesin', 'ahri', 'lucian', 'swain', 'aatrox', 'evelynn', 'zoe', 'vayne', 'janna', 'blue']
['yasuo', 'fiddlesticks', 'nunu', 'lucian', 'soraka', 'thresh', 'leesin', 'viego', 'samira', 'aatrox', 'blue']
['lulu', 'ezreal', 'leblanc', 'tryndamere', 'sylas', 'seraphine', 'diana', 'gwen', 'draven', 'renekton', 'blue']
['sylas', 'khazix', 'zed', 'kaisa', 'thresh', 'singed', 'nocturne', 'pantheon', 'varus', 'jarvaniv', 'blue']
